Entity;Code;Year;GDP per capita growth (annual %)
Iraq;IRQ;1982;0,65076077
Iraq;IRQ;1983;-15,32155418
Iraq;IRQ;1984;-3,915574312
Iraq;IRQ;1985;-0,929288983
Iraq;IRQ;1986;2,319413424
Iraq;IRQ;1987;6,970137596
Iraq;IRQ;1988;-2,157084942
Iraq;IRQ;1989;-5,299717903
Iraq;IRQ;1990;53,974823
Iraq;IRQ;1991;-64,99237061
Iraq;IRQ;1992;28,89399338
Iraq;IRQ;1993;26,49321365
Iraq;IRQ;1994;0,749098599
Iraq;IRQ;1995;-0,971523643
Iraq;IRQ;1996;7,635467529
Iraq;IRQ;1997;17,52548218
Iraq;IRQ;1998;30,7423439
Iraq;IRQ;1999;14,03587723
Iraq;IRQ;2000;13,46078777
Iraq;IRQ;2001;-1,225551367
Iraq;IRQ;2002;-10,8633585
Iraq;IRQ;2003;-38,41822433
Iraq;IRQ;2004;49,48028183
Iraq;IRQ;2005;-0,625885606
Iraq;IRQ;2006;3,622349739
Iraq;IRQ;2007;0,195033163
Iraq;IRQ;2008;6,418962479
Iraq;IRQ;2009;1,283329368
Iraq;IRQ;2010;3,652094603
Iraq;IRQ;2011;4,104570389
Iraq;IRQ;2012;9,775172234
Iraq;IRQ;2013;3,515701532
Iraq;IRQ;2014;-3,456831455
Iraq;IRQ;2015;1,306943774
Iraq;IRQ;2016;10,56009769
Iraq;IRQ;2017;-4,282981873
Iraq;IRQ;2018;0,28170532
Iraq;IRQ;2019;3,595620155
Iraq;IRQ;2020;-17,58660698
Lebanon;LBN;1989;-43,33249283
Lebanon;LBN;1990;23,07559013
Lebanon;LBN;1991;43,37741089
Lebanon;LBN;1992;10,59272003
Lebanon;LBN;1993;4,965000629
Lebanon;LBN;1994;3,11094451
Lebanon;LBN;1995;2,677091837
Lebanon;LBN;1996;8,749821663
Lebanon;LBN;1997;-0,264340758
Lebanon;LBN;1998;2,680881977
Lebanon;LBN;1999;-1,965454102
Lebanon;LBN;2000;-1,163790703
Lebanon;LBN;2001;-0,016917752
Lebanon;LBN;2002;-1,305247426
Lebanon;LBN;2003;-1,622675538
Lebanon;LBN;2004;2,453732252
Lebanon;LBN;2005;-0,141752645
Lebanon;LBN;2006;0,248100877
